HomeTeam,AwayTeam,Date,home_rest_days,away_rest_days,home_elo,away_elo,elo_diff,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_avg_goals,home_avg_goals_scored_5,home_avg_goals_conceded_5,home_avg_corners_5,home_avg_cards_5,home_avg_points_5,away_avg_goals_scored_5,away_avg_goals_conceded_5,away_avg_corners_5,away_avg_cards_5,away_avg_points_5,home_avg_goals_scored_10,home_avg_goals_conceded_10,home_avg_corners_10,home_avg_cards_10,home_avg_points_10,away_avg_goals_scored_10,away_avg_goals_conceded_10,away_avg_corners_10,away_avg_cards_10,away_avg_points_10,home_venue_avg_goals_5,home_venue_avg_corners_5,home_venue_avg_cards_5,home_venue_avg_points_5,away_venue_avg_goals_5,away_venue_avg_corners_5,away_venue_avg_cards_5,away_venue_avg_points_5,home_venue_avg_goals_10,home_venue_avg_corners_10,home_venue_avg_cards_10,home_venue_avg_points_10,away_venue_avg_goals_10,away_venue_avg_corners_10,away_venue_avg_cards_10,away_venue_avg_points_10,FTR,FTHG,FTAG,HC,AC,home_cards,away_cards
Newcastle,Southampton,2021-08-28,7,6,1480.0,1490.5750112778453,-10.575011277845306,0.0,0.0,0.0,0.0,1.0,3.0,5.5,2.5,0.0,1.0,2.0,7.5,1.0,0.5,1.0,3.0,5.5,2.5,0.0,1.0,2.0,7.5,1.0,0.5,2.0,7.0,1.0,0.0,1.0,8.0,0.0,0.0,2.0,7.0,1.0,0.0,1.0,8.0,0.0,0.0,D,2,2,4,4,3,3
Liverpool,Chelsea,2021-08-28,7,6,1519.4249887221547,1519.4249887221547,0.0,0.0,0.0,0.0,0.0,2.5,0.0,9.5,0.5,3.0,2.5,0.0,6.5,0.0,3.0,2.5,0.0,9.5,0.5,3.0,2.5,0.0,6.5,0.0,3.0,2.0,8.0,0.0,3.0,2.0,8.0,0.0,3.0,2.0,8.0,0.0,3.0,2.0,8.0,0.0,3.0,D,1,1,12,3,0,3
Aston Villa,Brentford,2021-08-28,7,7,1500.0,1509.4249887221547,-9.424988722154694,0.0,0.0,0.0,0.0,2.0,1.5,3.5,2.0,1.5,1.0,0.0,3.5,0.5,2.0,2.0,1.5,3.5,2.0,1.5,1.0,0.0,3.5,0.5,2.0,2.0,3.0,3.0,3.0,0.0,5.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,5.0,1.0,1.0,D,1,1,3,2,3,3
Man City,Arsenal,2021-08-28,7,6,1500.0,1480.5750112778453,19.424988722154694,0.0,0.0,0.0,0.0,2.5,0.5,8.5,1.0,1.5,0.0,2.0,7.0,1.5,0.0,2.5,0.5,8.5,1.0,1.5,0.0,2.0,7.0,1.5,0.0,5.0,6.0,1.0,3.0,0.0,5.0,0.0,0.0,5.0,6.0,1.0,3.0,0.0,5.0,0.0,0.0,H,5,0,14,0,1,3
Brighton,Everton,2021-08-28,7,7,1520.0,1509.4249887221547,10.575011277845306,0.0,0.0,0.0,0.0,2.0,0.5,6.5,2.5,3.0,2.5,1.5,5.5,3.0,2.0,2.0,0.5,6.5,2.5,3.0,2.5,1.5,5.5,3.0,2.0,2.0,7.0,4.0,3.0,2.0,5.0,4.0,1.0,2.0,7.0,4.0,3.0,2.0,5.0,4.0,1.0,A,0,2,4,5,1,2
Burnley,Leeds,2021-08-29,8,8,1480.5750112778453,1490.5750112778453,-10.0,0.0,0.0,0.0,0.0,0.5,2.0,5.5,1.0,0.0,1.5,3.5,6.0,2.0,0.5,0.5,2.0,5.5,1.0,0.0,1.5,3.5,6.0,2.0,0.5,1.0,7.0,2.0,0.0,1.0,4.0,2.0,0.0,1.0,7.0,2.0,0.0,1.0,4.0,2.0,0.0,D,1,1,5,5,4,3
Tottenham,Watford,2021-08-29,7,8,1519.4249887221547,1500.0,19.424988722154694,0.0,0.0,0.0,0.0,1.0,0.0,3.5,3.0,3.0,1.5,2.0,2.0,1.5,1.5,1.0,0.0,3.5,3.0,3.0,1.5,2.0,2.0,1.5,1.5,1.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,H,1,0,10,3,3,3
Wolves,Man United,2021-08-29,7,7,1480.5750112778453,1509.4249887221547,-28.84997744430939,0.0,0.0,0.0,0.0,0.0,1.0,4.5,1.5,0.0,3.0,1.0,6.0,2.0,2.0,0.0,1.0,4.5,1.5,0.0,3.0,1.0,6.0,2.0,2.0,0.0,5.0,1.0,0.0,1.0,7.0,3.0,1.0,0.0,5.0,1.0,0.0,1.0,7.0,3.0,1.0,A,0,1,5,7,3,4
Crystal Palace,Tottenham,2021-09-11,14,13,1491.4199114200496,1528.8664744330495,-37.44656301299983,0.0,0.0,0.0,0.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.0,0.6666666666666666,1.0,0.0,5.666666666666667,3.0,3.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.0,0.6666666666666666,1.0,0.0,5.666666666666667,3.0,3.0,0.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,0.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,H,3,0,8,2,2,2
Arsenal,Norwich,2021-09-11,14,14,1471.1335255669505,1470.5750112778453,0.5585142891052328,0.0,0.0,0.0,0.0,0.0,3.0,4.666666666666667,2.0,0.0,0.3333333333333333,3.3333333333333335,4.333333333333333,1.0,0.0,0.0,3.0,4.666666666666667,2.0,0.0,0.3333333333333333,3.3333333333333335,4.333333333333333,1.0,0.0,0.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,H,1,0,8,4,1,2
